PSD_ID,Low_size,High_size,Bin_concentration,shape_factor,dimention
W2W_river_fiber,170,175,2,0,1
W2W_river_fiber,175,180,3,0,1
W2W_river_fiber,180,185,2,0,1
W2W_river_fiber,185,190,1,0,1
W2W_river_fiber,190,195,3,0,1
W2W_river_fiber,200,205,2,0,1
W2W_river_fiber,205,210,3,0,1
W2W_river_fiber,220,225,2,0,1
W2W_river_fiber,225,230,7,0,1
W2W_river_fiber,230,235,1,0,1
W2W_river_fiber,235,240,1,0,1
W2W_river_fiber,240,245,2,0,1
W2W_river_fiber,245,250,4,0,1
W2W_river_fiber,250,255,4,0,1
W2W_river_fiber,255,260,5,0,1
W2W_river_fiber,260,265,3,0,1
W2W_river_fiber,270,275,5,0,1
W2W_river_fiber,275,280,2,0,1
W2W_river_fiber,280,285,1,0,1
W2W_river_fiber,285,290,1,0,1
W2W_river_fiber,290,295,1,0,1
W2W_river_fiber,295,300,1,0,1
W2W_river_fiber,300,305,4,0,1
W2W_river_fiber,310,315,2,0,1
W2W_river_fiber,315,320,1,0,1
W2W_river_fiber,325,330,1,0,1
W2W_river_fiber,330,335,2,0,1
W2W_river_fiber,340,345,1,0,1
W2W_river_fiber,345,350,3,0,1
W2W_river_fiber,360,365,2,0,1
W2W_river_fiber,365,370,2,0,1
W2W_river_fiber,370,375,5,0,1
W2W_river_fiber,375,380,1,0,1
W2W_river_fiber,380,385,2,0,1
W2W_river_fiber,395,400,1,0,1
W2W_river_fiber,405,410,1,0,1
W2W_river_fiber,425,430,2,0,1
W2W_river_fiber,430,435,1,0,1
W2W_river_fiber,435,440,2,0,1
W2W_river_fiber,440,445,1,0,1
W2W_river_fiber,445,450,1,0,1
W2W_river_fiber,450,455,1,0,1
W2W_river_fiber,455,460,1,0,1
W2W_river_fiber,460,465,1,0,1
W2W_river_fiber,475,480,2,0,1
W2W_river_fiber,490,495,2,0,1
W2W_river_fiber,515,520,1,0,1
W2W_river_fiber,555,560,1,0,1
W2W_river_fiber,570,575,1,0,1
W2W_river_fiber,575,580,1,0,1
W2W_river_fiber,600,605,1,0,1
W2W_river_fiber,605,610,2,0,1
W2W_river_fiber,695,700,1,0,1
W2W_river_fiber,780,785,1,0,1
W2W_river_fiber,785,790,2,0,1
W2W_river_fiber,830,835,1,0,1
W2W_river_fiber,835,840,1,0,1
W2W_river_fiber,855,860,1,0,1
W2W_river_fiber,860,865,1,0,1
W2W_river_fiber,940,945,1,0,1
W2W_river_fiber,1105,1110,1,0,1
W2W_river_fiber,1875,1880,1,0,1
W2W_river_fiber,2100,2105,1,0,1
W2W_sediment_all,50,55,66,0,3
W2W_sediment_all,60,65,76,0,3
W2W_sediment_all,70,75,10,0,3
W2W_sediment_all,80,85,90,0,3
W2W_sediment_all,95,100,33,0,3
W2W_sediment_all,100,105,60,0,3
W2W_sediment_all,115,120,54,0,3
W2W_sediment_all,120,125,2,0,3
W2W_sediment_all,125,130,37,0,3
W2W_sediment_all,130,135,5,0,3
W2W_sediment_all,135,140,48,0,3
W2W_sediment_all,145,150,17,0,3
W2W_sediment_all,150,155,10,0,3
W2W_sediment_all,155,160,22,0,3
W2W_sediment_all,165,170,6,0,3
W2W_sediment_all,170,175,21,0,3
W2W_sediment_all,175,180,8,0,3
W2W_sediment_all,180,185,16,0,3
W2W_sediment_all,185,190,5,0,3
W2W_sediment_all,190,195,11,0,3
W2W_sediment_all,200,205,11,0,3
W2W_sediment_all,205,210,14,0,3
W2W_sediment_all,215,220,16,0,3
W2W_sediment_all,220,225,6,0,3
W2W_sediment_all,225,230,12,0,3
W2W_sediment_all,230,235,7,0,3
W2W_sediment_all,235,240,5,0,3
W2W_sediment_all,240,245,5,0,3
W2W_sediment_all,245,250,2,0,3
W2W_sediment_all,250,255,2,0,3
W2W_sediment_all,255,260,5,0,3
W2W_sediment_all,260,265,11,0,3
W2W_sediment_all,270,275,4,0,3
W2W_sediment_all,275,280,4,0,3
W2W_sediment_all,280,285,6,0,3
W2W_sediment_all,285,290,2,0,3
W2W_sediment_all,290,295,3,0,3
