PSD_ID,LOD_low_um,LOD_high_um,slope_C_PSD,intercept_C_PSD,R2,n_bins_used,slope_BN_PSD,intercept_BN_PSD,extrapolation_low_size_um,extrapolation_high_size_um,MP#_1_5000um_MP#/m3,MP_Mass_1_5000um_ug/m3,fit_mode
W2W_river_all,165,385,-1.919519209984631,6.646352222023229,0.9880166882373123,38,-2.919519209984631,8502461.709674481,1,5000,4429474.313386698,0,ok
W2W_river_fragment,95,350,-2.739182076027633,8.07253248665699,0.9929734699598479,38,-3.739182076027633,323707966.6876923,1,5000,118176870.9341352,0,ok
W2W_river_fiber,175,480,-1.67106150944134,5.896144627132704,0.9696822374227052,44,-2.671061509441341,1315639.981915651,1,5000,787307.4136762404,0,ok
W2W_sediment_all,135,560,-1.98298364129834,6.848251205382933,0.9962128598531879,64,-2.98298364129834,13982033.45297438,1,5000,7051007.640846008,0,ok
W2W_sediment_fragment,115,410,-2.576619420139119,7.932215013029039,0.9917455917646081,43,-3.576619420139119,220427253.1853068,1,5000,85549014.8826395,0,ok
W2W_sediment_fiber,200,585,-1.470704947074662,5.363330702665392,0.9865468308222398,44,-2.470704947074662,339512.8810262204,1,5000,230849.5998943134,0,ok
W2W_ocean_all,95,245,-1.765263164794791,5.343845860830124,0.9939172884363451,18,-2.765263164794791,389632.6298958096,1,5000,220722.0558307586,0,ok
W2W_ocean_fragment,95,220,-2.15057100900288,6.080429843520262,0.9946449592773108,16,-3.15057100900288,2588115.361490024,1,5000,1203454.953099421,0,ok
W2W_ocean_fiber,260,770,-0.9805502335947731,3.12020778704925,0.9700440889465617,5,-1.980550233594773,1293.235550072013,1,5000,1318.576303940319,0,ok
