"particle_id","sample_id","max_cor_val","bad_spectra","material_class","area_um2","perimeter_um","max_length_um","min_length_um","aspect_ratio","circularity","centroid_x","centroid_y","first_x","first_y","acc_analy_conf","max_cor_name","mean_snr","r","g","b","count","mean_length","size_class","client_id","sample_prop","Client_ID_MSSupdate","sample_type","material_simple","sample_or_blank","sample_location","sample_depth_general","date_raw","date","shape","length_um","width_um"
350,"MBMS_02_07DEC23_PreDS_1of1_lft",0.648491391,TRUE,"poly(propylene)",1875,85.35533906,60.35533906,31.06601718,1.942809042,0.309207662,991.6666667,8033.333333,975,8025,"confident","dfae3b1664eee9371630f71bcd6979fb",0.007287287,102,104,103,1,45.71067812,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",60.35533906,31.06601718
109,"MBMS_02_07DEC23_PreDS_1of1_lft",0.629537098,TRUE,"poly(propylene)",6875,251.6123776,131.0660172,52.4544817,2.498661943,0.73279321,6104.545455,9490.909091,6075,9450,"confident","d90d8f2ecc800ec3ac907f5d6e4e1f8f",0.007125072,127,130,135,1,91.76024944,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",131.0660172,52.4544817
298,"MBMS_02_07DEC23_PreDS_1of1_lft",0.59415397,TRUE,"acrylonitrile butadiene styrene (abs)",5000,185.3553391,95.71067812,52.24077499,1.832106781,0.546802299,2121.875,12571.875,2100,12550,"possible","824f1d1c2aecfa28dd6ead0a489e91f6",0.006710099,113,114,109,1,73.97572656,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",95.71067812,52.24077499
290,"MBMS_02_07DEC23_PreDS_1of1_lft",0.62979612,TRUE,"poly(propylene)",1250,50,50,25,2,0.159154943,2200,12762.5,2200,12750,"confident","65c63f6893bc69eb258cbe46650d8834",0.006266826,89,90,92,1,37.5,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",50,25
25,"MBMS_02_07DEC23_PreDS_1of1_rt",0.633090266,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",15000,437.4618376,200,75,2.666666667,1.015264551,6366.666667,10958.33333,6375,10900,"confident","efa809db82b5581d1d225f43f59edae4",0.00792153,128,131,136,1,137.5,"<212 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fragment",200,75
260,"MBMS_02_07DEC23_PreDS_1of1_rt",0.632328088,TRUE,"poly(propylene)",32500,986.8168038,400,81.25,4.923076923,2.384404031,445.1923077,11668.26923,475,11500,"confident","d90d8f2ecc800ec3ac907f5d6e4e1f8f",0.007259982,129,133,132,1,240.625,"212-500 µm",2,1,"CRR20231207SS_1","river water","plastic","sample","Carmel","surface","20231207",2023-12-07,"fiber",400,81.25
